#code;libelle;code;libelle
005;PHYS-CHIMIE;005A;PHYS CHIM ECR
005;PHYS-CHIMIE;005B;PHYS CHIM PRA
006-3;SC. VIE TERRE;006A-3;S.V.T. ECRIT
006-3;SC. VIE TERRE;006B-2;S.V.T. PRATIQ
006B-2;S.V.T. PRATIQ;006BA;COND REV PROJ
006B-2;S.V.T. PRATIQ;006BB;PRSENTAT PROJ
006-2;SC. INGENIEUR;006A-2;SC ING ECRIT
006-2;SC. INGENIEUR;006B-3;SC ING ORAL
006-1;ECO AGR TER O;006A-1;EC AG TE OB E
006-1;ECO AGR TER O;006B-1;EC AG TE OB P
007;L.V.E. 1;007A;LV1 ECRIT
007;L.V.E. 1;007B;LV1 ORAL
007B;LV1 ORAL;007BA;LV1 COMP ORAL
007B;LV1 ORAL;007BB;LV1 EXP ORALE
007;L.V.E. 1;007C;LV1 ORAL
008;LANGUE VIV. 2;008A;LV2 ECRIT
008;LANGUE VIV. 2;008B;LV2 ORAL
008;LANGUE VIV. 2;008C;LV2 ORAL
008B;LV2 ORAL;008BA;LV2 COMP ORAL
008B;LV2 ORAL;008BB;LV2 EXP ORALE
010;ED.PHYS.SPORT;010A;1ERE ACT.EPS
010;ED.PHYS.SPORT;010B;2EME ACT.EPS
014;EVALUAT.SPEC.;014A;EVA.SPEC.LANG
014;EVALUAT.SPEC.;014B;EVA.SCOLARITE
