#idCandidat;idEpreuve;idEpreuveRemplacer;libelle;note
516043657;003;003;HIST.GEOG.;6
516043657;004;004;MATHEMATIQUES;4
516043657;005;005;PHYS-CHIMIE;8
516043657;006-1;006-1;ECO AGR TER O;9
516043657;007;007;L.V.E. 1;9
516043657;008;008;LANGUE VIV. 2;9
516043657;009;009;PHILOSOPHIE;12
516043791;001;001;FRANCAIS ECR.;11
516043791;003;003;HIST.GEOG.;7
516043791;004;004;MATHEMATIQUES;7
516043791;005;005;PHYS-CHIMIE;8
516043791;006-1;006-1;ECO AGR TER O;11
516043791;007;007;L.V.E. 1;9
516043791;008;008;LANGUE VIV. 2;10
516043791;009;009;PHILOSOPHIE;10
